poi_id,is_visible,num_visible,cellsite_1,lat_1,lon_1,radio_type_1,ground_distance_1,antenna_los_distance_1,azimuth_angle_1,los_geometry_1,cellsite_2,lat_2,lon_2,radio_type_2,ground_distance_2,antenna_los_distance_2,azimuth_angle_2,los_geometry_2,cellsite_3,lat_3,lon_3,radio_type_3,ground_distance_3,antenna_los_distance_3,azimuth_angle_3,los_geometry_3
c30b6800-1281-4cee-8dd9-ba3e5c5802fd,True,3,5b199afc-f1e3-46f6-919f-c19a45896853,39.028935914048425,1.5530080507316153,3G,1581,1581,319.52,"LINESTRING (1.564889899 39.01812244, 1.5530080507316153 39.028935914048425)",f7412e93-8fb4-4abf-a298-8fb0876a97f5,38.994459016552206,1.5588949736709776,4G,2682,2682,191.14,"LINESTRING (1.564889899 39.01812244, 1.5588949736709776 38.994459016552206)",4ea23bde-9f03-4e96-871d-59276323e1c2,38.98788510647062,1.546099731137311,3G,3734,3734,205.78,"LINESTRING (1.564889899 39.01812244, 1.546099731137311 38.98788510647062)"
1fa23b03-6f38-49e7-98de-c0d5a352d05a,True,3,316c680a-a233-4552-a65b-c1e913f033d9,39.08783409520887,1.4835831271086062,4G,270,277,293.46,"LINESTRING (1.486454693 39.086867, 1.4835831271086062 39.08783409520887)",0e502cce-2109-4556-8f3c-d10d7de839be,39.09322301710436,1.515143934367531,4G,2575,2575,74.06,"LINESTRING (1.486454693 39.086867, 1.515143934367531 39.09322301710436)",6f33c3f1-bfe0-425b-a6bb-8bff1dba24ff,39.08518473715558,1.518132160075056,4G,2740,2741,93.9,"LINESTRING (1.486454693 39.086867, 1.518132160075056 39.08518473715558)"
6e4190d2-b21e-4c48-8cde-59bb39329f62,True,3,5b199afc-f1e3-46f6-919f-c19a45896853,39.028935914048425,1.5530080507316153,3G,3753,3756,187.88,"LINESTRING (1.558964273 39.06236908, 1.5530080507316153 39.028935914048425)",e7356954-eb7e-444d-adde-ea48e0e81129,39.04085669495776,1.593396738478233,3G,3816,3820,128.81,"LINESTRING (1.558964273 39.06236908, 1.593396738478233 39.04085669495776)",c499b119-ebc9-4302-a96e-ebd46cf34f6e,39.016077565382766,1.5537953731162486,4G,5167,5168,184.96,"LINESTRING (1.558964273 39.06236908, 1.5537953731162486 39.016077565382766)"
03116452-1288-434e-83d5-fed21199c4a8,True,3,194a1da5-5c5b-40ab-8529-3896e18d32af,39.03803633637922,1.49836627499455,3G,1079,1082,244.45,"LINESTRING (1.509642134 39.04222339, 1.49836627499455 39.03803633637922)",57698fd5-3769-41e9-b2e8-085aefd88b66,39.03032780100048,1.5070701846770564,3G,1341,1344,189.53,"LINESTRING (1.509642134 39.04222339, 1.5070701846770564 39.03032780100048)",559811e1-d2d0-4767-a412-8e09f61a6d25,39.02665171598812,1.4823062425817826,4G,2928,2929,233.75,"LINESTRING (1.509642134 39.04222339, 1.4823062425817826 39.02665171598812)"
4c67727a-4af9-46ef-a98d-5ce5f843163d,False,0,,,,,,,,,,,,,,,,,,,,,,,,
08d556b6-931d-4029-a82c-e651113c6d63,True,1,f7412e93-8fb4-4abf-a298-8fb0876a97f5,38.994459016552206,1.5588949736709776,4G,3442,3442,215.05,"LINESTRING (1.58176983 39.01980367, 1.5588949736709776 38.994459016552206)",,,,,,,,,,,,,,,,
1472ba6a-9a43-4921-a751-efedc0e5fcf4,True,3,acd467fd-70c9-4e80-ae6a-98caa5af0dcd,38.92838173557276,1.3406056487296965,3G,505,511,49.14,"LINESTRING (1.336193129 38.92541254, 1.3406056487296965 38.92838173557276)",58621e78-67aa-4cab-ac81-2480d28f6cf0,39.00392045065399,1.380697188028657,4G,9540,9541,23.77,"LINESTRING (1.336193129 38.92541254, 1.380697188028657 39.00392045065399)",94407b64-f245-470e-b118-e8c8c2953fc7,39.00898483490728,1.391478936500965,4G,10450,10451,27.2,"LINESTRING (1.336193129 38.92541254, 1.391478936500965 39.00898483490728)"
292f0d20-f275-44f5-a40f-cf0e80c3a067,True,3,b73da8f1-6805-465c-813c-48d491331849,38.98142782247335,1.4191074273650623,3G,1084,1084,66.38,"LINESTRING (1.407620621 38.97752283, 1.4191074273650623 38.98142782247335)",23131082-f9bf-4ab5-91b3-23111c4bf241,38.96964746065793,1.437323756024553,4G,2713,2713,108.82,"LINESTRING (1.407620621 38.97752283, 1.437323756024553 38.96964746065793)",0222b6a7-350c-46b2-95fd-a3e1c61ee847,38.97666489861615,1.4383532678871531,4G,2658,2658,92.05,"LINESTRING (1.407620621 38.97752283, 1.4383532678871531 38.97666489861615)"
d3a1fe88-51a0-4558-a376-5c614106e50b,True,3,487da0fa-b139-470b-9062-fc769b2808f4,38.98025891997847,1.309286074952894,3G,6323,6323,76.41,"LINESTRING (1.238187992 38.96691495, 1.309286074952894 38.98025891997847)",c792a57c-917b-4ecf-8e8f-c89f26361d6b,38.93899999540557,1.3074686023842217,4G,6747,6751,117.37,"LINESTRING (1.238187992 38.96691495, 1.3074686023842217 38.93899999540557)",c39c4afa-010e-41da-a1c4-020fe349c7a3,38.98694453062616,1.3172790345037946,4G,7190,7191,71.93,"LINESTRING (1.238187992 38.96691495, 1.3172790345037946 38.98694453062616)"
80995085-677e-40c5-a7eb-3e6be9c04193,True,2,b7e54fbf-12f0-4795-8b99-fa36fee9747a,38.86878519995628,1.2553861252826088,3G,336,358,267.88,"LINESTRING (1.259268392 38.86889715, 1.2553861252826088 38.86878519995628)",5ef608e3-60c4-4894-8ac2-57ab0d0e55c9,38.85081993416053,1.3755994038329078,4G,10271,10271,101.25,"LINESTRING (1.259268392 38.86889715, 1.3755994038329078 38.85081993416053)",,,,,,,,
